TAP_service,table_name,objects,description
VizieR,J/MNRAS/398/109/iifsczv4,6698,"IIFSCz Catalogue (MRR+LW 18/04/09) ( Wang L., Rowan-Robinson M.)"
VizieR,J/A+A/679/A142/table3,6426,"Merger probabilities for ~130000 HSC Galaxies ( Omori K.C., Bottrell C., Walmsley M., Yesuf H.M., Goulding A.D., Ding X., Popping G., Silverman J.D., Takeuchi T.T., Toba Y.)"
VizieR,J/A+A/611/A53/table,6063,"Catalog of VVDS data and new zReliability labels ( Jamal S., Le Brun V., Le Fevre O., Vibert D., Schmitt A., Surace C., Copin Y., Garilli B., Moresco M., Pozzetti L.)"
VizieR,I/361/verv,5812,Epoch radial velocity data points for a subset of variable stars (vari\_epoch\_radial_velocity) ( Gala collaboration)
VizieR,VII/235/table1,5662,"Quasars (brighter than absolute magnitude -23) ( Veron-Cetty M.P., Veron P.)"
VizieR,J/A+A/599/A12/table1,5579,"Coordinates, VVV magnitudes, radial velocities and metallicities of the program stars ( Zoccali, M., Vasquez, S., Gonzalez, O. A., Valenti, E., Rojas-Arriagada, A., Minniti, J., Rejkuba, M., Minniti, D., McWilliam, A., Babusiaux, C., Hill, V., Renzini, A.)"
VizieR,III/257/ravedr2,5566,"RAVE catalog with position, radial velocities, atmospheric parameters and photometry ( Zwitter T., Siebert A., Munari U., et al.)"
VizieR,J/MNRAS/455/2440/catalog,5465,"General catalog data (band-independent data) (UPenn_PhotDec_CAST) ( Meert A., Vikram V., Bernardi M.)"
VizieR,J/A+A/540/A106/dr8gr,5340,"Group/cluster parameters ( Tempel E., Tago E., Liivamagi L.J.)"
HEASARC,veroncat,5245,"Veron Catalog of Quasars & AGN, 13th Edition"
VizieR,J/MNRAS/416/2840/catalog,5161,"*The 2M++ catalogue ( Lavaux G., Hudson M.J.)"
HEASARC,qorgcat,4548,All-Sky Optical Catalog of Radio/X-Ray Sources
VizieR,J/A+A/546/A61/tablea1,4424,"Final-results ( de Bruijne J.H.J., Eilers A.-C.)"
HEASARC,allwiseagn,4249,AllWISE Catalog of Mid-IR AGNs
VizieR,J/A+A/683/A125/table4,4136,"Individual radial velocity measurements and auxiliary data for all targets ( Perdelwitz V., Trifonov T., Teklu J.T., Sreenivas K.R., Tal-Or L.)"
VizieR,J/A+A/600/A90/catalog,4117,"Full redshift catalog, combining the MUSE and VIMOS measurements ( Caminha G.B., Grillo C., Rosati P., Balestra I., Mercurio A., Vanzella E., Biviano A., Caputi K.I., Delgado-Correal C., Karman W., Lombardi M., Meneghetti M., Sartoris B., Tozz P.)"
VizieR,III/254/crvad2,4098,"The catalogue of radial velocities of galactic stars with high precision astrometric data, the 2nd version (CRVAD-2) ( Kharchenko N.V., Scholz R.-D., Piskunov A.E., Roeser S., Schilbach E.)"
VizieR,J/MNRAS/442/1663/table4,4062,"Details of the 4172 red giants identified in our spectroscopic follow-up of sources towards the SMC ( Dobbie P.D., Cole A.A., Subramaniam A., Keller S.)"
VizieR,J/MNRAS/413/3059/clusters,3981,"Stripe 82 cluster catalogue, top level ( Geach J.E., Murphy D.N.A., Bower R.G.)"
HEASARC,rass2rxs,3978,Second ROSAT All-Sky Survey Point Source Catalog (2RXS)
VizieR,V/149/astars2,3859,"A type stars catalog ( Luo A.-L., Zhao Y.-H., Zhao G., et al.)"
VizieR,J/MNRAS/395/255/groups,3671,"Combined table from original tables ( McConnachie A.W., Patton D.R., Ellison S.L., Simard L.)"
VizieR,J/MNRAS/474/3875/gamadr3,3631,"GAMA-DR3 spectrum catalog ( Baldry I.K., Liske J., Brown M.J.I., et al.)"
VizieR,J/MNRAS/348/866/2dfsgpgr,3572,"Group properties in the SGP ( Eke V.R., Baugh C.M., Cole S., et al.)"
VizieR,IX/49/xxlaaoz,3535,"XXL AAOmega redshift catalogue ( Pierre M., Pacaud F., Adami C., et al.)"
VizieR,J/A+A/683/A130/table2,3528,"Properties of member clusters of the eRASS1 superclusters ( Liu A., Bulbul E., Kluge M., et al.)"
VizieR,J/ApJ/892/31/table6,3524,"Test results for 14828 sources ( Birky J., Hogg D.W., Mann A.W., Burgasser A.)"
VizieR,J/A+A/559/A14/f10wide,3511,"Search in F10_WIDE field AND MagI between -100 and 100 AND Spectroscopic Redshift > 0 ( Le Fevre O., Cassata P., Cucciati O., et al.)"
VizieR,J/ApJS/267/37/table5,3461,"Source and host information ( Gordon Y.A., Rudnick L., Andernach H., Morabito L.K., O'Dea C.P., Achong K.-M., Baum S.A., Bayona-Figueroa C., Hooper E.J., Mingo B., Morris M.E., Vantyghem A.N.)"
VizieR,J/ApJ/691/1387/table2,3343,"Radial velocities and equivalent widths ( Rangwala N., Williams T.B., Stanek K.Z.)"
HEASARC,morx,3258,"Millions of Optical Radio/X-Ray (MORX) Associations Catalog, Ver"
VizieR,J/MNRAS/493/3341/tablec1,3175,"The full table of LAEs in our SC4K ( Calhau J., Sobral D., Santos S., Matthee J., Paulino-Afonso A., Stroe A., Simmons B., Barlow-Hall C., Adams B.)"
VizieR,J/A+A/614/A140/lqac4,3128,"4th release of the Large Quasar Astrometric Catalogue ( Gattano C., Andrei A.H., Coelho B., Souchay J., Barache C., Taris F.)"
VizieR,IX/52/3xlsopts,3074,"The 3XLSSOPTS XXL-S multiwave catalogue (Paper XXVII Chiappetti et al. 2018A&A...620A..12C) ( Chiappetti L., Pierre M., Adami C., et al.)"
VizieR,J/ApJS/219/29/table6,2938,"Spectroscopic catalog ( Momcheva I.G., Williams K.A., Cool R.J., Keeton C.R., Zabludoff A.I.)"
VizieR,VII/241/2qz,2924,"2QZ catalogue: includes North and South galactic poles, and 6QZ with another 1657 lines. ( Croom S.M., Smith R.J., Boyle B.J., Shanks T., Miller L., Outram P.J., Loaring N.S.)"
VizieR,J/A+A/566/A1/groups,2894,"Flux limited groups ( Tempel E., Tamm A., Gramann M., Tuvikene T., Liivamagi L. J., Suhhonenko I., Kipper R., Einasto M., Saar E.)"
VizieR,J/MNRAS/494/1784/table1,2787,"LASr-GPS ( Asmus D., Greenwell C.L., Gandhi P., Boorman P.G., Aird J., Alexander D.M., Assef R.J., Baldi R.D., Davies R.I., Honig S.F., Ricci C., Rosario D.J., Salvato M., Shankar F., Stern D.)"
VizieR,J/ApJ/974/156/table2,2764,"S82-XL catalog ( Peca A., Cappelluti N., LaMassa S., Urry C.M., Moscetti M., Marchesi S., Sanders D., Auge C., Ghosh A., Ananna T.T., Torres-Alba N., Treister E.)"
VizieR,J/A+A/530/A31/table3,2753,"Parameters from the KISS pipeline for fields centered on 47 Tuc, M4, M12, M55, NGC 288, NGC 6752 ( Lane R.R., Kiss L.L., Lewis G.F., Ibata R.A., Siebert A., Bedding T.R., Szekely P., Szabo G.M.)"
VizieR,J/ApJS/172/70/zcosmos3,2752,"zCOSMOS Spectroscopic Redshift Survey, DR3 ( Lilly S.J., Fevre O.L., Renzini A., et al.)"
VizieR,J/MNRAS/488/739/mard-y3,2740,"MARD-Y3 catalog ( Klein M., Grandis S., Mohr J.J., et al.)"
VizieR,J/ApJS/268/17/cgc,2626,"The Chandra X-ray Galaxy Catalog (CGC) ( Kim D.-W., Cassity A., Bhatt B., Fabbiano G., Martinez Galarza J.R., O'Sullivan E., Rots A.)"
VizieR,J/MNRAS/472/273/ozdesdr1,2456,"Positions, redshifts, redshifts quality flags ( Childress M.J., Lidman C., Davis T.M., et al.)"
VizieR,V/149/stellar2,2407,"A, F, G and K type stars catalog ( Luo A.-L., Zhao Y.-H., Zhao G., et al.)"
VizieR,J/MNRAS/462/3146/hdr1all,2391,"HATLAS DR1 Catalogue all IDs ( Valiante E., Smith M.W.L., Eales S., Maddox S.J., Ibar E., Hopwood R., Dunne L., Cigan P.J., Dye S., Pascale E., Rigby E.E., Bourne N., Furlanetto C., Ivison R.J.)"
VizieR,J/A+A/638/A114/catalog,2387,"CODEX cluster catalog (table 1) ( Finoguenov A., Rykoff E., Clerc N., et al.)"
VizieR,J/ApJ/788/45/table1,2318,"List of the 224168 selected galaxies ( Toba Y., Oyabu S., Matsuhara H., Malkan M.A., Gandhi P., Nakagawa T., Isobe N., Shirahata M., Oi N., Ohyama Y., Takita S., Yamauchi C., Yano K.)"
VizieR,J/ApJ/943/177/detinfo,2166,"*Detection info table (from hetdex_sc1_detinfo_v3.2.fits) ( Mentuch Cooper E., Gebhardt K., Davis D., et al.)"
VizieR,J/ApJS/246/12/table4,2060,"*Catalog of the possible compact groups (""pCGs""); updated version from the author ( Zheng Y.-L., Shen S.-Y.)"
HEASARC,actszclust,2055,Atacama Cosmology Telescope DR5 Sunyaev-Zeldovich Cluster Catalo
VizieR,J/MNRAS/386/826/rv,2040,"Stellar radial velocities from the SMC 2dF survey ( Evans C.J., Howarth I.D.)"
HEASARC,wgacat,2032,ROSAT Catalog PSPC WGA Sources
VizieR,J/MNRAS/499/89/groups,2022,"The group catalogue ( Wang K., Mo H.J., Li C., Meng J., Chen Y.)"
HEASARC,vlacosxoid,2009,VLA-COSMOS 3-GHz Large Project Multiwavelength Counterparts Cata
VizieR,J/A+A/588/A103/cat2rxs,1998,"Catalogue of 135118 2RXS ROSAT sources ( Boller T., Freyberg M.J., Truemper J., Haberl F., Voges W., Nandra K.)"
VizieR,J/ApJ/699/L43/catalog,1949,FIRST-NVSS-SDSS radio AGN sample catalog ( Smolcic V.)
VizieR,IX/52/xxlaaoz,1918,"XXL_AAOmega_16 redshift table (Paper XXVII Chiappetti et al. 2018A&A...620A..12C) ( Chiappetti L., Pierre M., Adami C., et al.)"
VizieR,I/345/rvstdcat,1900,Mean radial velocities on absolute scale ( Gaia collaboration)
VizieR,J/ApJ/756/74/table2,1869,"Sagittarius stellar velocity data ( Frinchaboy P.M., Majewski S.R., Munoz R.R., Law D.R., Lokas E.L., Kunkel W.E., Patterson R.J., Johnston K.V.)"
VizieR,VII/249/spectra,1811,"Table of spectral observations (subset of parameters) ( Jones D.H., Saunders W., Read M., Colless M.)"
