TAP_service,table_name,objects,description
VizieR,J/ApJS/221/32/table1,6119,"Catalog of Mg II absorption systems ( Chen Z.-F., Gu Q.-S., Chen Y.-M.)"
VizieR,J/A+A/661/A3/ctpmain,5963,"Counterparts for eROSITA sources in Main catalog of Brunner et al., 2022A&A...611A...1B, Cat. J/A+A/661/A1 ( Salvato M., Wolf J., Dwelly T., et al.)"
VizieR,J/ApJS/183/295/catalog,5684,"Photometry, redshifts and rest-frame photometry catalog ( Taylor E.N., Franx M., Van Dokkum P.G., et al.)"
VizieR,J/AJ/116/1/galaxies,5329,"Catalog of galaxies in the SSRS2 sample,  plus 57 galaxies fainter than m_SSRS2_=15.5mag ( Da Costa L.N., Willmer C.N.A., Pellegrini P.S., Chaves O.L., Rite C., Maia M.A.G., Geller M.J., Latham D.W., Kurtz M.J., Huchra J.P., Ramella M., Fairall A.P., Smith C., Lipari S.)"
VizieR,J/A+A/599/A81/table4,5254,"Redshifts for 17985 galaxies ( Moretti A., Gullieuszik M., Poggianti B., Paccagnella A., Couch W.J., Vulcani B., Bettoni D., Fritz J., Cava A., Fasaano G., D'Onofrio M., Omizzolo A.)"
HEASARC,vlacosxoid,4991,VLA-COSMOS 3-GHz Large Project Multiwavelength Counterparts Cata
VizieR,J/ApJS/221/12/table1,4842,"Mid-IR AGNs data ( Secrest N.J., Dudik R.P., Dorland B.N., Zacharias N., Makarov V., Fey A., Frouard J., Finch C.)"
VizieR,J/A+A/542/A48/ambredr1,4725,"Atmospheric Parameters and Chemical Abundances from Stellar Spectra, Version 1 ( Worley C.C., de Laverny P., Recio-Blanco A., Hill V., Bijaoui A., Ordenovic C.)"
VizieR,VII/240/mgczcat,4642,"*Millennium Galaxy Catalogue ( Liske J., Lemon D.J., Driver S.P., Cross N.J.G., Couch W.J.)"
VizieR,VII/241/2qz,4621,"2QZ catalogue: includes North and South galactic poles, and 6QZ with another 1657 lines. ( Croom S.M., Smith R.J., Boyle B.J., Shanks T., Miller L., Outram P.J., Loaring N.S.)"
VizieR,J/ApJ/753/121/table5,4563,"Spec-z and photo-z group galaxies ( Knobel C., Lilly S.J., Iovino A., et al.)"
VizieR,J/ApJ/680/169/table1,3950,"Catalog of virial mass measurements ( Shen Y., Greene J.E., Strauss M.A., Richards G.T., Schneider D.P.)"
VizieR,J/A+A/547/L1/table3,3893,"Damped Lyman-alpha absorption systems with logN(HI)>=20 ( Noterdaeme P., Petitjean P., Carithers W. C., et al.)"
HEASARC,sdssnbcqsc,3882,Sloan Digital Sky Survey NBC Quasar Candidate Catalog
VizieR,V/146/dr1,3875,"LAMOST DR1 catalog (31/03/2016 version) ( Luo A.-L., Zhao Y.-H., Zhao G., et al.)"
VizieR,IX/52/atcaclas,3681,"ATCA XXL-S source classification data (Paper XXXVI, Butler et al. 2019A&A...625A.111B) ( Chiappetti L., Pierre M., Adami C., et al.)"
VizieR,VIII/73/hicat,3643,"HI line data for 4315 extragalactic sources ( Meyer, M.J., Zwaan, M.A., Webster, R.L., et al.)"
VizieR,III/190B/web,3606,"Catalogue WEB (version 2, February 1996) ( Duflot M., Figon P., Meyssonnier N.)"
VizieR,J/MNRAS/462/3146/hdr1all,3531,"HATLAS DR1 Catalogue all IDs ( Valiante E., Smith M.W.L., Eales S., Maddox S.J., Ibar E., Hopwood R., Dunne L., Cigan P.J., Dye S., Pascale E., Rigby E.E., Bourne N., Furlanetto C., Ivison R.J.)"
VizieR,J/A+A/559/A14/f10wide,3396,"Search in F10_WIDE field AND MagI between -100 and 100 AND Spectroscopic Redshift > 0 ( Le Fevre O., Cassata P., Cucciati O., et al.)"
VizieR,J/A+A/427/387/master,3394,"The Master catalogue, with comprehensive listings of detections from 7 surveys. Also lists 2 radio lobes if applicable. ( Flesch E., Hardcastle M.J.)"
VizieR,J/A+A/559/A14/f02deep,3373,"Search in F02_DEEP field AND MagI between -100 and 100 AND Spectroscopic Redshift > 0 ( Le Fevre O., Cassata P., Cucciati O., et al.)"
VizieR,J/other/AstBu/73.310/catalog,3164,"The isolated galaxy pair catalog ( Nottale L., Chamaraux P.)"
VizieR,IX/49/xxlaaoz,3117,"XXL AAOmega redshift catalogue ( Pierre M., Pacaud F., Adami C., et al.)"
VizieR,J/MNRAS/425/2116/table2,3110,"ACES redshift catalogue ( Cooper M.C., Yan R., Dickinson M., Juneau S., Lotz J.M., Newman J.A., Papovich C., Salim S., Walth G., Weiner B.J., Willmer C.N.A.)"
VizieR,J/MNRAS/410/860/table1,2954,"Properties of the NMF reconstructions (non-negative matrix factorization) and the resulting broad absorption properties ( Allen J.T., Hewett P.C., Maddox N., Richards G.T., Belokurov V.)"
VizieR,J/A+A/588/A14/table2,2920,"Catalog of combined dataset galaxies ( Tempel E., Kipper R., Tamm A., Gramann M., Einasto M., Sepp T., Tuvikene T.)"
VizieR,III/21/gcrv,2903,The General Catalogue of Stellar Radial Velocity ( Wilson R.E.)
VizieR,J/ApJS/219/29/table6,2893,"Spectroscopic catalog ( Momcheva I.G., Williams K.A., Cool R.J., Keeton C.R., Zabludoff A.I.)"
VizieR,IX/52/3xlsopts,2776,"The 3XLSSOPTS XXL-S multiwave catalogue (Paper XXVII Chiappetti et al. 2018A&A...620A..12C) ( Chiappetti L., Pierre M., Adami C., et al.)"
VizieR,J/MNRAS/481/1055/table5,2761,"Galaxy redshifts ( Haines C.P., Busarello G., Merluzzi P., Pimbblet K.A., Vogt F.P.A., Dopita M.A., Mercurio A., Grado A., Limatola L.)"
VizieR,III/272/ravedr4,2733,"RAVE catalog, DR4 ( Kordopatis G., Gilmore G., Steinmetz M., et al.)"
