TAP_service,table_name,objects,description
VizieR,J/MNRAS/422/3370/tablea1,124,"Table of all VLT and Keck da/a values ( King J.A., Webb J.K., Murphy M.T., Flambaum V.V., Carswell R.F., Bainbridge M.B., Wilczynska M.R., Koch F.E.)"
VizieR,J/ApJS/234/21/table2,123,"Photometric and spectroscopic properties of the hCOSMOS galaxy sample ( Damjanov I., Zahid H.J., Geller M.J., Fabricant D.G., Hwang Ho S.)"
VizieR,VIII/56/rbrgals,122,"Compendium of Radio Measurements of Bright Galaxies ( Haynes R.F., Huchtmeier W.K.H., Siegman B., Wright A.E.)"
VizieR,J/A+A/646/A57/tablea2,122,"Redshift catalogue from the VLT/MUSE spectroscopic study ( Vanzella E., Caminha G.B., Rosati P., et al.)"
VizieR,J/ApJ/911/78/tablea1,121,"Spectroscopically confirmed galaxies and AGNs in our Ly{alpha} emitter (LAE) samples ( Ono Y., Itoh R., Shibuya T., et al.)"
VizieR,J/A+A/461/823/LaE,120,"Position and properties of the Ly{alpha} emission line of the confirmed Ly{alpha} emitters and the radio galaxy in the fields ( Venemans B.P., Roettgering H.J.A., Miley G.K., Van Breugel W.J.M., De Breuck C., Kurk J.D., Pentericci L., Stanford S.A., Overzier R.A., Croft S., Ford H.)"
VizieR,VII/193/zbig,119,"The list with Large z ( Huchra J.P., Geller M.J., Clemens C.M., Tokarz S.P., Michel A.)"
VizieR,J/MNRAS/465/316/nonlyc,119,"Non-LyC catalog (LAEs and LBGs at redshift z>=3.06) ( Micheva G., Iwata I., Inoue A.K., Matsuda Y., Yamada T., Hayashino T.)"
VizieR,J/ApJ/497/188/table3,118,"New spectroscopic results ( Couch W.J., Barger A.J., Smail I., Ellis R.S., Sharples R.M.)"
VizieR,J/ApJS/164/38/data,117,"Basic, photometric and star-formation-related properties of the sample of galaxies (tables 2, 3, 4 of the paper) ( Iglesias-Paramo J., Buat V., Takeuchi T.T., et al.)"
VizieR,J/MNRAS/327/1004/table1,117,"Fundamental plane data for SBF survey galaxies ( Blakeslee J.P., Lucey J.R., Barris B.J., Hudson M.J., Tonry J.L.)"
VizieR,J/A+A/645/A74/xfcz,116,"The XMM-Newton spectral-fit Z catalogue ( Ruiz A., Georgantopoulos I., Corral A.)"
VizieR,J/ApJS/193/28/table4,115,"Summary of galaxies at z<z_em_+0.01 ( Prochaska J.X., Weiner B., Chen H.-W., Cooksey K.L., Mulchaey J.S.)"
VizieR,J/ApJ/836/7/table2,115,"Observed properties of supergroup members ( Monroe J.T., Tran K.-V.H., Gonzalez A.H.)"
VizieR,J/ApJS/248/21/table1,115,"The list of 371 Swift long gamma-ray bursts (LGRBs) ( Hao J.-M., Cao L., Lu Y.-J., Chu Q.-B., Fan J.-H., Yuan Y.-F., Yuan Y.-H.)"
VizieR,J/MNRAS/450/2615/table2,114,"Spectroscopically surveyed extragalactic sources ( Saez C., Lehmer B.D., Bauer F.E., Stern D., Gonzales A., Rreza I., Alexander D.M., Matsuda Y., Geach J.E., Harrison F.A., Hayashino T.)"
VizieR,J/ApJS/259/37/table6,112,"IDEOS observables ( Spoon H.W.W., Hernan-Caballero A., Rupke D., Waters L.B.F.M., Lebouteiller V., Tielens A.G.G.M., Loredo T., Su Y., Viola V.)"
VizieR,J/A+A/643/A149/cj0395,111,"LAE candidates DR1, in narrow-band J0395 ( Spinoso D., Orsi A., Lopez-Sanjuan C., et al.)"
VizieR,VII/287/table2,111,"Astronomical sources ( Friedman A.S., Gerasimov R., Leon D., Stevens W., Tytler D., Keating B.G., Kislat F.)"
VizieR,J/AJ/127/2674/table3,110,"Candidate Sculptor group star clusters ( Olsen K.A.G., Miller B.W., Suntzeff N.B., Schommer R.A., Bright J.)"
VizieR,J/ApJS/217/27/table1,109,"Catalog of the morphological types of local galaxies ( Ann H.B., Seo M., Ha D.K.)"
VizieR,J/A+A/539/A80/mainadap,109,"Main sample adaptive threshold catalog ( Liivamagi L.J., Tempel E., Saar E.)"
VizieR,J/ApJS/229/25/table1,109,"Basic GOALS Data ( Chu J.K., Sanders D.B., Larson K.L., et al.)"
VizieR,J/A+A/646/A83/mc416ne,109,"Spectroscopic catalog for MACS J0416.1-2403 (North-East pointing) ( Richard J., Claeyssens A., Lagattuta D., et al.)"
VizieR,J/ApJ/658/980/table2,108,"Spectroscopically Confirmed M104 Globular Clusters ( Bridges T.J., Rhode K.L., Zepf S.E., Freeman K.C.)"
VizieR,J/ApJS/232/8/table3,106,"Spectral properties ( Liu T., Tozzi P., Wang J.-X., et al.)"
VizieR,J/ApJ/826/114/table4,105,"Observed Properties of All Spectroscopically Confirmed Dropout Galaxies ( Toshikawa J., Kashikawa N., Overzier R., Malkan M.A., Furusawa H., Ishikawa S., Onoue M., Ota K., Tanaka M., Niino Y., Uchiyama H.)"
VizieR,J/A+A/526/A136/table1,104,"Target coordinates, heliocentric radial velocities, and B brightness ( Moehler S., Dreizler S., Lanz T., Bono G., Sweigart A.V., Calamida A., Nonino M.)"
VizieR,J/ApJS/237/14/table10,104,"KYDISC catalog ( Oh S., Kim K., Lee J.H., Sheen Y.-K., Kim M., Ree C.H., Ho L.C., Kyeong J., Sung E.-C., Park B.-G., Yi S.K.)"
VizieR,J/ApJS/215/22/table2,104,"The Extended Virgo Cluster Catalog (EVCC) ( Kim S., Rey S.-C., Jerjen H., Lisker T., Sung E.-C., Lee Y., Chung J., Pak M., Yi W., Lee W.)"
VizieR,J/AJ/155/188/table8,102,"Radio galaxy used in Section 3 ( Lin Y.-T., Huang H.-J., Chen Y.-C.)"
VizieR,J/ApJ/706/762/table3,101,"IMACS spectroscopically confirmed Ly{alpha} emitters at z~4.5 in the LALA Cetus field ( Wang J.-X., Malhotra S., Rhoads J.E., Zhang H.-T., Finkelstein S.L.)"
VizieR,J/ApJS/197/21/cgs,101,"The Carnegie-Irvine Galaxy Survey ( Ho L.C., Li Z.-Y., Barth A.J., Seigar M.S., Peng C.Y.)"
VizieR,J/AN/328/889/crvoca,101,"The catalogue of radial velocities of Galactic Open Clusters and Associations (CRVOCA) ( Kharchenko N.V., Scholz R.-D., Piskunov A.E., Roeser S., Schilbach E.)"
VizieR,IX/52/xxlnbcg,100,"BCG catalogue in XXL-N (Paper XXVIII Ricci et al. 2018A&A...620A..13R) ( Chiappetti L., Pierre M., Adami C., et al.)"
VizieR,J/MNRAS/484/1021/table4,100,"The large radio sources ( Orenstein B.J., Collier J.D., Norris R.P.)"
HEASARC,zcat,99,CfA Redshift Catalog (June 1995 Version)
VizieR,J/A+A/646/A83/smc2031,99,"Spectroscopic catalog for SMACS J2031.8-4036 ( Richard J., Claeyssens A., Lagattuta D., et al.)"
VizieR,J/ApJ/892/137/table2,99,"*Anglo-Australian Telescope (AAT) velocity measurements for Gru II and Tuc IV ( Simon J.D., Li T.S., Erkal D., et al.)"
VizieR,J/A+A/606/A12/mw1-24m,99,"Object table ( Herenz E.C., Urrutia T., Wisotzki L., Kerutt J., Saust R., Werhahn M., Schmidt K.B., Caruana J., Diener C., Bacon R., Brinchman J., Schaye J., Maseda M., Weilbacher P.M.)"
VizieR,J/A+A/646/A83/bullet,98,"Spectroscopic catalog for Bullet ( Richard J., Claeyssens A., Lagattuta D., et al.)"
VizieR,J/MNRAS/440/1248/dim2t1c,98,"Type1 clusters from dim2 in comoving coordinates ( Nadathur S., Hotchkiss S.)"
VizieR,J/ApJ/761/143/agn,98,"Broad-line fitting results and black hole  masses for the broad-line AGNs ( Nobuta K., Akiyama M., Ueda Y., et al.)"
VizieR,J/MNRAS/401/1429/wigglez1,98,"WiggleZ data first public release (DR1, 09/2009) ( Drinkwater M.J., Jurek R.J., Blake C., et al.)"
VizieR,J/ApJS/181/572/table12,98,"Arp-Madore sample of RING galaxies and their companions, and supplementary list of previously published RING galaxies and their companions ( Madore B.F., Nelson E., Petrillo K.)"
VizieR,J/ApJ/815/33/table2,97,"Optical and X-ray properties of the ""best sample"" ( Risaliti G., Lusso E.)"
VizieR,J/A+A/538/A100/table3,97,"Photometric information for our FLAMES targets ( Lemasle B., Hill V., Tolstoy E., Venn K.A., Shetrone M.D., Irwin M.J., de Boer T.J.L., Starkenburg E., Salvadori S.)"
VizieR,J/ApJ/893/77/table1,97,"Basic information, prompt emission, afterglow, and host galaxy data for the 6289 collected GRBs ( Wang F., Zou Y.-C., Liu F., Liao B., Liu Yu, Chai Y., Xia L.)"
VizieR,VIII/94/catalog,97,Catalogue of extended radio sources from FIRST survey ( Amirkhanyan V.R.)
VizieR,IX/12/wgacat,97,"The catalogue ( White N.E., Giommi P., Angelini L.)"
VizieR,J/A+AS/110/371/table,97,"ESO-LV Binary list ( Soares D.S.L., de Souza R.E., de Carvalho R.R., Couto da Silva T.C.)"
VizieR,J/ApJ/765/47/table3,96,"Summary of Ly{alpha} emitters (LAEs) data ( Nestor D.B., Shapley A.E., Kornei K.A., Steidel C.C., Siana B.)"
VizieR,J/ApJ/880/142/table2,96,"New spectroscopic redshifts from Hectospec ( Sohn J., Geller M.J., Zahid H.J.)"
VizieR,J/MNRAS/484/5868/tablea1,96,"Redshift catalogue of LBGs in the SSA22 field ( Hayashino T., Inoue A.K., Kousai K., Kashikawa N., Mawatari K., Matsuda Y., Tejos N., Prochaska J.X., Iwata I., Noll S., Burgarella D., Yamada T., Akiyama M.)"
VizieR,J/A+A/601/A95/sample,95,"Positions, redshifts and selection magnitudes (table B1) and derived physical properties (table B3) of SFDGs in VUDS ( Calabro A., Amorin R., Fontana A., et al.)"
VizieR,J/MNRAS/426/3334/table2,95,"The catalogue of new spectroscopic redshifts and spectroscopic classifications of the 466 radio-selected galaxies in ATLAS ( Mao M.Y., Sharp R., Norris R.P., Hopkins A.M., Seymour N., Lovell J.E.J., Middelberg E., Randall K.E., Sadler E.M., Saikia D.J., Shabala S.S., Zinn P.-C.)"
VizieR,J/MNRAS/467/1965/krossv2,94,"KROSS V2 catalog ( Harrison C.M., Johnson H.L., Swinbank A.M., Stott J.P., Bower R.G., Smail I., Tiley A.L., Bunker A.J., Cirasuolo M., Sobral D., Sharples R.M., Best P., Bureau M., Jarvis M.J., Magdis G.)"
VizieR,J/ApJ/776/91/table1,94,"ClG 2130.4-0000 MMT/Hectospec spectroscopic redshifts ( Lemze D., Postman M., Genel S., et al.)"
VizieR,J/A+A/424/79/table1,93,"Photometric parameters for 102 galaxies ( Mercurio A., Busarello G., Merluzzi P., La Barbera F., Girardi M., Haines C.)"
VizieR,J/A+A/524/A44/table2,92,"CH and CN bands index measurements ( Pancino E., Rejkuba M., Zoccali M., Carrera R.)"
VizieR,J/MNRAS/485/1188/acccat,92,"ALMA Calibrator Catalogue ( Bonato M., Liuzzo E., Herranz D., Gonzalez-nuevo J., Bonavera L., Tucci M., Massardi M., De Zotti G., Negrello M., Zwaan M.A.)"
VizieR,J/MNRAS/492/719/catalog,91,"Catalog ( Timlin J., Brandt W.N., Ni Q., Luo B., Schneider D., Vivek M., Yi W.)"
HEASARC,qso,91,Hewitt & Burbidge (1993) QSO Catalog
VizieR,J/MNRAS/450/2615/table5,91,"Spectral properties of extragalactic X-ray sources with redshifts ( Saez C., Lehmer B.D., Bauer F.E., Stern D., Gonzales A., Rreza I., Alexander D.M., Matsuda Y., Geach J.E., Harrison F.A., Hayashino T.)"
VizieR,J/A+A/561/A94/table3,91,"Radial velocity table of GES targets ( Donati P., Gaudin Cantat , Bragaglia A., et al.)"
VizieR,J/A+A/626/A9/sample,90,"unobscured type 2 AGN ( Mignoli M., Feltre A., Bongiorno A., et al.)"
VizieR,J/A+A/321/123/table1,90,"List of the QSOs in the SA94 ( Cristiani S., Trentini S., La Franca F., Andreani P.)"
VizieR,J/AJ/127/3235/table1,90,"Integrated Flux Densities of RBGS Interacting Galaxies ( Surace J.A., Sanders D.B., Mazzarella J.M.)"
VizieR,J/ApJ/815/129/table2,90,"Subaru/FMOS spectroscopic observations ( Suh H., Hasinger G., Steinhardt C., Silverman J.D., Schramm M.)"
VizieR,J/MNRAS/404/1719/CoNFIG,89,"Combined NVSS-FIRST Galaxies (CoNFIG) catalogue (4 samples) ( Gendre M.A., Best P.N., Wall J.V.)"
VizieR,J/A+A/590/A29/fitgal,89,"Catalog of galaxies ( Poudel A., Heinamaki P., Nurmi P., Teerikorpi P., Tempel E., Lietzen H., Einasto M.)"
HEASARC,sdsscxoqso,89,Sloan Digital Sky Survey Quasars Detected by Chandra
VizieR,J/AJ/153/114/table2,89,"Contaminants ( Forbes D.A., Alabi A., Brodie J.P., Romanowsky A.J., Strader J., Foster C., Usher C., Spitler L., Bellstedt S., Pastorello N., Villaume A., Wasserman A., Pota V.)"
VizieR,J/ApJS/261/6/best,88,"Best spectral measurements (Table 2) and velocity dispersion and M_BH_ measurements (Table 4) ( Koss M.J., Trakhtenbrot B., Ricci C., et al.)"
HEASARC,spidersxmm,88,SDSS-IV/SPIDERS XMM-Based X-Ray Point Source Spectroscopic Catal
HEASARC,romabzcat,88,Roma-BZCAT Multi-Frequency Catalog of Blazars
VizieR,J/A+A/490/945/table3,86,"List of galaxy redshifts ( Grove L.F., da Costa L., Benoist C.)"
VizieR,J/ApJ/703/1778/table2,86,"The spectroscopic catalog ( Sacchi N., La Franca F., Feruglio C., et al.)"
VizieR,J/AJ/132/347/galaxies,86,"Observed clusters ( Chiboucas K., Mateo M.)"
VizieR,J/ApJ/819/162/table6,86,"Optical and X-ray properties of non-X-ray-detected UCDs ( Pandya V., Mulchaey J., Greene J.E.)"
VizieR,J/A+A/549/A41/M5,86,"Combined table from original tables ( Gratton R.G., Lucatello S., Sollima A., Carretta E., Bragaglia A., Momany Y., D'Orazi V., Cassisi S., Pietrinferni A., Salaris M.)"
HEASARC,ecdfsoid2,85,Extended Chandra Deep Field-South Optical and Near-IR Counterpar
VizieR,J/ApJ/725/1252/table1,84,"Spectroscopically confirmed cluster members ( Demarco R., Gobat R., Rosati P., Lidman C., Rettura A., Nonino M., van der Wel A., Jee M.J., Blakeslee J.P., Ford H.C., Postman M.)"
VizieR,J/ApJ/681/1505/RGBdata,84,"180 RGB data in {omega} Cen ( Johnson C.I., Pilachowski C.A., Simmerer J., Schwenk D.)"
VizieR,J/ApJ/741/98/table4,84,"WIYN Long-term Variability (WLTV) DEIMOS catalog ( Crawford S.M., Wirth G.D., Bershady M.A., Hon K.)"
VizieR,J/ApJ/562/254/table5,83,"A3395 Velocities ( Donnelly R.H., Forman W., Jones C., Quintana H., Ramirez A., Churazov E., Gilfanov M.)"
VizieR,J/ApJ/552/427/table1,83,"The r_z_^max^=5h^-1^Mpc, r_p_^max^=0.25h^-1^Mpc groups ( Carlberg R.G., Yee H.K.C., Morris S.L., Lin H., Hall P.B., Patton D.R., Sawicki M., Shepherd C.W.)"
VizieR,J/ApJ/775/106/table1,82,"The Sample of 1.2<z<3 early-type galaxies (ETGs) ( Cassata P., Giavalisco M., Williams C.C., Guo Y., Lee B., Renzini A., Ferguson H., Faber S.F., Barro G., McIntosh D.H., Lu Y., Bell E.F., Koo D.C., Papovich C.J., Ryan R.E., Conselice C.J., Grogin N., Koekemoer A., Hathi N.P.)"
VizieR,J/A+AS/124/1/table6,82,"The Centaurus Cluster Catalogue ( Jerjen H., Dressler A.)"
VizieR,J/ApJ/788/81/members,82,"Properties of candidate members of  young kinematic groups and membership probabilities ( Malo L., Artigau E., Doyon R., Lafreniere D., Albert L., Gagne J.)"
VizieR,J/ApJ/755/61/table3,82,"List of SN Ia events used in this paper and their associated host galaxy properties ( Smith M., Nichol R.C., Dilday B., Marriner J., Kessler R., Bassett B., Cinabro D., Frieman J., Garnavich P., Jha S.W., Lampeitl H., Sako M., Schneider D.P., Sollerman J.)"
VizieR,J/A+A/664/A73/tablee1,80,"Physical parameters from PL+OTMBB (Physical_parameters_plotmbb_final_21Oct) ( Burgarella D., Bogdanoska J., Nanni A., et al.)"
VizieR,J/ApJ/671/1503/table2,80,"MS 0451-03 redshift catalog ( Moran S.M., Ellis R.S., Treu T., Smith G.P., Rich R.M., Smail I.)"
VizieR,J/AJ/139/59/table1,80,"Velocity, SDSS photometry and absolute magnitudes of the HVS (HyperVelocity Star) program. ( Brown W.R., Geller M.J., Kenyon S.J., Diaferio A.)"
HEASARC,twodfqsoz,79,2dF QSO Redshift (2QZ) Survey
VizieR,J/A+A/659/A40/catalog1,79,"Physical parameters of galaxies ( Sharma G., Salucci P., van de Ven G.)"
VizieR,II/290/finalcat,79,"SWIRE photometric redshift catalogue ( Rowan-Robinson M., Babbedge T., Oliver S., Trichas M., Berta S., Lonsdale C., Smith G., Shupe D., Surace J., Arnouts S., Ilbert O., Fevre O.L., Afonso-Luis A., Perez-Fournon I., Hatziminaoglou E., Polletta M., Farrah D., Vaccari M.)"
VizieR,J/other/A+ARV/15.289/table1,78,"High accuracy distances of local galaxies ( Tammann G.A., Sandage A., Reindl B.)"
VizieR,J/ApJ/902/78/sptgal,78,"SPT-selected dusty star-forming galaxies (DSFGs) from ALMA 3mm continuum images (Table A1), photometry (Table D1), redshifts and lines (Table E1) and individiual properties (Table F1) ( Reuter C., Vieira J.D., Spilker J.S., et al.)"
VizieR,J/MNRAS/328/805/table1,78,"Low-ionization 2QZ absorption systems ( Outram P.J., Smith R.J., Shanks T., Boyle B.J., Croom S.M., Loaring N.S., Miller L.)"
VizieR,J/A+A/540/A106/dr8gal,78,"Galaxy parameters ( Tempel E., Tago E., Liivamagi L.J.)"
VizieR,V/148/morx,77,The catalogue ( Flesch E.W.)
VizieR,J/A+AS/110/269/table3,77,"A compilation of optically identified and published galaxies within l=0-360; |b|<5 ( Weinberger R., Saurer W., Seeberger R.)"
VizieR,J/A+A/430/19/tablea,77,"Radial velocities and spectral lines for 239 galaxies in A3921 ( Ferrari C., Benoist C., Maurogordato S., Cappi A., Slezak E.)"
VizieR,J/ApJS/126/1/table6,76,"Sample of Abell Clusters and CCD Frames ( Quintana H., Infante L., Fouque P., Carrasco E.R., Cuevas H., Hertling G., Nunez I.)"
VizieR,J/ApJ/888/89/table3,76,"Observed properties of spectroscopically confirmed dropout galaxies ( Toshikawa J., Malkan M.A., Kashikawa N., Overzier R., Uchiyama H., Ota K., Ishikawa S., Ito K.)"
VizieR,V/31A/catalog,75,"The catalogue ( Rubin V.C., Burley J., Kiasatpoor A., Klock B., Pease G., Rutscheidt E., Smith C.)"
VizieR,J/A+A/545/A66/AGNs,75,"Properties of the 852 X-ray selected  (+11 X-ray undetected) SDSS type 1 AGNs falling in the FIRST field ( Ballo L., Heras F.J.H., Barcons X., Carrera F.J.)"
VizieR,J/PASP/118/1077/table3,75,"*Metal-strong candidates from SDSS-DR3 ( Herbert-Fort S., Prochaska J.X., Dessauges-Zavadsky M., Ellison S.L., Howk J.C., Wolfe A.M., Prochter G.E.)"
HEASARC,vla3701p4,74,VLA A370 Cluster of Galaxies 1.4-GHz Source Catalog
VizieR,J/A+A/615/A68/snprop,74,"*Properties of the SNIa sample ( Roman M., Hardin D., Betoule M., et al.)"
VizieR,J/A+A/505/1087/table3,73,"Damped and sub-damped Lyman alpha absorbers ( Noterdaeme, P., Petitjean P., Ledoux C., Srianand R.)"
VizieR,J/ApJS/249/17/dr14qpsp,73,"Main catalog based on the spectral information ( Rakshit S., Stalin C.S., Kotilainen J.)"
VizieR,J/ApJ/643/680/table1,73,"Object Summary ( Prochaska J.X., Weiner B.J., Chen H.-W., Mulchaey J.S.)"
VizieR,J/MNRAS/368/651/catalog,73,"The final redshift catalogue for all objects observed in the direction of Abell 3653 with a quality flag of 3 or 4. ( Pimbblet K.A., Roseboom I.G., Doyle M.T.)"
VizieR,J/A+A/620/A139/tablea1,73,"Analysis of Delta RV/2 for the final sample ( Leao I.C., Canto Martins B.L., Alves S., Pereira De Oliveira G., Cortes C., Brucalassi A., Melo C.H.F., De Freitas D.B., Pasquini L., de Medeiros J.R.)"
VizieR,J/A+A/602/A123/table1,72,"Multiwavelength properties of the 692 sources in the X-FIR sample ( Lanzuisi G., Delvecchio I., Berta S., Brusa M., Comastri A., Gilli R., Gruppioni C., Marchesi S., Perna M., Pozzi F., Salvato M., Symeonidis M., Vignali C., Vito F., Volonteri M., Zamorani G.)"
VizieR,J/ApJ/865/L1/table1,72,"Properties of HST-undetected MUSE Ly{alpha} emitters (LAEs) ( Maseda M.V., Bacon R., Franx M., et al.)"
VizieR,J/A+A/575/A4/table3,71,"Parameters of the Cha I members ( Frasca A., Biazzo K., Lanzafame A.C., et al.)"
VizieR,J/A+A/435/781/table3,71,"List of galaxy redshifts ( Olsen L.F., Benoist C., da Costa L., Hansen L., Joergensen H.E.)"
VizieR,J/A+A/527/A90/table1,70,"Physical properties of confirmed detections in the Westerbork Virgo Filament Survey total-power data ( Popping A., Braun R.)"
VizieR,J/ApJ/725/394/lae,70,"Ly{alpha} emitters at z~5.7 and z~6.5 ( Hu E.M., Cowie L.L., Barger A.J., Capak P., Kakazu Y., Trouille L.)"
VizieR,J/MNRAS/456/4488/table5,70,"Combined sample catalogue ( Sanchez-Ramirez R., Ellison S.L., Prochaska J.X., Berg T.A.M., Lopez S., D'odorico V., Becker G.D., Christensen L., Cupani G., Denney K.D., Paris I., Worseck G., Gorosabel J.)"
VizieR,J/ApJ/663/164/table5,70,"Spectroscopic data of field galaxies ( Demarco R., Rosati P., Lidman C., et al.)"
VizieR,J/AJ/135/1311/table4,70,"*Group Member Properties ( Auger M.W., Becker R.H., Fassnacht C.D.)"
VizieR,J/A+AS/109/537/table10,69,"Photometry, diameters, types, and redshifts ( Hopp U., Kuhm B., Thiele U., Birkle K., Elsaesser H.)"
VizieR,J/A+A/392/795/table3,69,"A1451 spectroscopic catalogue ( Valtchanov I., Murphy T., Pierre M., Hunstead R., Lemonon L.)"
VizieR,J/AJ/128/245/table3,69,"M Giants with radial velocity data ( Majewski S.R., Kunkel W.E., Law D.R., Patterson R.J., Polak A.A., Rocha-Pinto H.J., Crane J.D., Frinchaboy P.M., Hummels C.B., Johnston K.V., Rhee J., Skrutskie M.F., Weinberg M.)"
VizieR,J/A+A/492/637/tableb1,69,"Catalog of broad-line AGN with secure redshift ( Gavignaud I., Wisotzki L., Bongiorno A., et al.)"
VizieR,J/A+A/425/367/reflex50,69,"REFLEX cluster catalogue for h=0.5 (H_0_=50km/s/Mpc) and Einstein-de Sitter-cosmology (table6b of paper) (H=50km/s/Mpc ( Boehringer H., Schuecker P., Guzzo L., Collins C.A., Voges W., Cruddace R.G., Ortiz-Gil A., Chincarini G., De Grandi S., Edge A.C., MacGillivray H.T., Neumann D.M., Schindler S., Shaver P.)"
VizieR,J/MNRAS/401/1521/table1,69,"Mid-IR Photometric catalogue (AB magnitude) of LBGs (Lyman Break Galaxies) with confirmed spectroscopic z ( Magdis G.E., Rigopoulou D., Huang J.-S., Fazio G.G.)"
VizieR,J/ApJ/848/56/table7,68,"The Spectral Adaptive Light-curve Template (Guy+ 2007A&A...466...11G) version 2.4 (SALT2.4) light-curve parameters ( Uddin S.A., Mould J., Lidman C., Ruhlmann-Kleider V., Zhang B.R.)"
HEASARC,sdssunuqsr,68,Sloan Digital Sky Survey Unusual Quasars Catalog
VizieR,J/MNRAS/450/3904/tablea2,67,"Catalog of Mg II {lambda}{lambda}2796, 2803 Absorption Systems ( Chen Z.-F., Gu Q.-S., Chen Y.-M., Cao Y.)"
VizieR,J/MNRAS/484/2832/catalog,67,The catalogue of cluster proper motions (table C1). See update with Gaia EDR3 in J/MNRAS/505/5978 ( Vasiliev E.)
VizieR,J/A+A/600/A110/ecdfs,67,"VUDS-DR1 ECDFS field ( Tasca L.A.M., Le Fevre O., Ribeiro B., et al.)"
VizieR,J/ApJS/96/343/table2,66,"Cluster redshifts ( Quintana H., Ramirez A.)"
VizieR,J/ApJS/178/247/11Mpc,66,"Galaxy sample: positions, distances,  integrated H{alpha}+[NII] fluxes and equivalent widths ( Kennicutt R.C.Jr, Lee J.C., Funes J.G., Sakai S., Akiyama S.)"
VizieR,J/A+A/258/243/table1,65,"Heliocentric redshifts for galaxies in A 151 ( Proust D., Quintana H., Mazure A., da Souza R., Sodre L., Capelato H.V.)"
VizieR,J/AJ/131/49/data,65,"SDSS QSOs also observed by HST (table 1) or not (table 2) ( Richards G.T., Haiman Z., Pindor B., Strauss M.A., Fan X., Eisenstein D., Schneider D.P., Bahcall N.A., Brinkmann J., Fukugita M.)"
VizieR,J/MNRAS/450/3675/scall,64,"Sigma Catalogue full body of information with multiple entries ( Sereno M., Ettori S.)"
VizieR,J/ApJS/255/29/sample,64,"PTF core-collapse supernova (CCSN) (Table 3) and results from the host galaxy SED modelling with Prospector (Table 4) ( Schulze S., Yaron O., Sollerman J., et al.)"
VizieR,J/ApJ/799/60/table5,64,"Catalog of XMM-CFHTLS X-ray selected galaxy clusters ( Mirkazemi M., Finoguenov A., Pereira M.J., Tanaka M., Lerchster M., Brimioulle F., Egami E., Kettula K., Erfanianfar G., McCracken H.J., Mellier Y., Kneib J.P., Rykoff E., Seitz S., Erben T., Taylor J.E.)"
VizieR,J/ApJ/691/228/table2,63,"PNe in NGC 4697 detected with FOCAS ( Mendez R.H., Teodorescu A.M., Kudritzki R.-P., Burkert A.)"
VizieR,J/A+A/527/A126/catalog,63,"2XMMi versus SDSSDR7 cross-match catalog ( Pineau F.-X., Motch C., Carrera F., Della Ceca R., Derriere S., Michel L., Schwope A., Watson M.G.)"
VizieR,J/A+AS/116/203/table1,63,Redshifts and types inside clusters ( Stein P.)
HEASARC,fermilatra,63,Fermi LAT Sources Refined Associations Catalog
VizieR,J/AJ/131/1280/table1,63,"Redshift data for galaxes in Horologium-Reticulum Supercluster ( Fleenor M.C., Rose J.A., Christiansen W.A., Johnston-Hollitt M., Hunstead R.W., Drinkwater M.J., Saunders W.)"
VizieR,J/ApJ/761/140/table1,63,"Spectroscopically identified 0<z<2 SPIRE-selected galaxies ( Casey C.M., Berta S., Bethermin M., et al.)"
HEASARC,pkscat90,62,"Parkes Southern Radio Source Catalog, Version 1.01"
VizieR,J/A+A/500/947/catalog,62,"Spectroscopic catalogue in the regions  of A2744 and A2537 ( Braglia F.G., Pierini D., Biviano A., Boehringer H.)"
VizieR,J/A+A/555/A42/main210,62,"Main table, 2-10keV band ( Ranalli P., Comastri A., Vignali C., Carrera F.J., Cappelluti N., Gilli R., Puccetti S., Brandt W.N., Brunner H., Brusa M., Georgantopoulos I., Iwasawa K., Mainieri V.)"
VizieR,VII/255/sample,62,"dat.The sample of high-redshift galaxies: spectral indeces, redshifts, magnitudes, sizes and flux density for 2442 galaxies. ( Khabibullina M.L., Verkhodanov O.V.)"
VizieR,J/ApJ/763/88/table6,61,"Photometrically classified SNe Ia data ( Campbell H., D'Andrea C.B., Nichol R.C., et al.)"
VizieR,J/A+A/646/A83/mc416s,61,"Spectroscopic catalog for MACS J0416.1-2403 (South pointing) ( Richard J., Claeyssens A., Lagattuta D., et al.)"
VizieR,J/A+A/377/428/table1,61,"Heliocentric radial velocities for galaxies ( Sodre L.Jr., Proust D., Capelato H.V., Lima Neto G.B., Cuevas H., Quintana H., Fouque P.)"
VizieR,J/A+A/619/A13/table3,61,"Program cluster data ( Vasquez S., Saviane I., Held E.V., Da Costa G.S., Dias B., Gullieuszik M., Barbuy B., Ortolani S., Zoccali M.)"
VizieR,J/A+A/506/1477/ocars,61,"Optical characteristics of astrometric radio sources ( Titov O., Malkin Z.)"
VizieR,J/MNRAS/440/1248/bri1t1c,60,"Type1 clusters from bright1 in comoving coordinates ( Nadathur S., Hotchkiss S.)"
VizieR,J/PASP/117/773/table1,60,"Classifications of SN host galaxies ( van den Bergh S., Li W., Filippenko A.V.)"
VizieR,J/MNRAS/359/930/table1,60,"The CIDA-UCM-Yale survey (CUYS) catalogue of emission line galaxies. ( Bongiovanni A., Bruzual G., Magris G., Gallego J., Garcia-Dabo C.E., Coppi P., Sabbey C.)"
