TAP_service,table_name,description
VizieR,IX/52/atcaclas,"ATCA XXL-S source classification data (Paper XXXVI, Butler et al. 2019A&A...625A.111B) ( Chiappetti L., Pierre M., Adami C., et al.)"
VizieR,IX/52/xxlaaoz,"XXL_AAOmega_16 redshift table (Paper XXVII Chiappetti et al. 2018A&A...620A..12C) ( Chiappetti L., Pierre M., Adami C., et al.)"
VizieR,IX/52/xxlnbcg,"BCG catalogue in XXL-N (Paper XXVIII Ricci et al. 2018A&A...620A..13R) ( Chiappetti L., Pierre M., Adami C., et al.)"
VizieR,IX/52/xxlngal,"Spectrophotometric catalog of galaxies (Paper XXII Guglielmo et al. 2018A&A...620A...7G) ( Chiappetti L., Pierre M., Adami C., et al.)"
VizieR,IX/60/cat1-1,"Superluminal sources detected by Fermi-LAT (data for 377 individual sources) (Paper I, table 1) ( Xiao H.B., Fan J.H., Yang J.H., Liu Y., Yuan Y.H., Tao J., Costantin D., Zhang Y.T., Pei Z.Y., Zhang L.X., Yang W.X.)"
VizieR,IX/60/cat1-2,"Superluminal sources not detected by Fermi-LAT (Paper I, table 2) ( Xiao H.B., Fan J.H., Yang J.H., Liu Y., Yuan Y.H., Tao J., Costantin D., Zhang Y.T., Pei Z.Y., Zhang L.X., Yang W.X.)"
VizieR,IX/60/cat2-1,"New Fermi detected superluminal sources from 4FGL (table1, Paper II) (Paper II, table 1) ( Xiao H.B., Fan J.H., Yang J.H., Liu Y., Yuan Y.H., Tao J., Costantin D., Zhang Y.T., Pei Z.Y., Zhang L.X., Yang W.X.)"
VizieR,IX/60/cat2-3,"181 Fermi detected superluminal sources with available Doppler factor (Paper II, table 3) ( Xiao H.B., Fan J.H., Yang J.H., Liu Y., Yuan Y.H., Tao J., Costantin D., Zhang Y.T., Pei Z.Y., Zhang L.X., Yang W.X.)"
VizieR,IX/60/cat2-5,"1505 blazars' luminosity-Doppler factor (Paper II, table 5) ( Xiao H.B., Fan J.H., Yang J.H., Liu Y., Yuan Y.H., Tao J., Costantin D., Zhang Y.T., Pei Z.Y., Zhang L.X., Yang W.X.)"
VizieR,IX/60/cat2-6,"187 Fermi detected superluminal sources with total and component flux from Lister et al. (2018, Cat. J/ApJS/234/12) and Lister et al. (2019, Cat. J/AJ/138/1874) (Paper II, table 6) ( Xiao H.B., Fan J.H., Yang J.H., Liu Y., Yuan Y.H., Tao J., Costantin D., Zhang Y.T., Pei Z.Y., Zhang L.X., Yang W.X.)"
VizieR,J/A+A/258/243/table1,"Heliocentric redshifts for galaxies in A 151 ( Proust D., Quintana H., Mazure A., da Souza R., Sodre L., Capelato H.V.)"
