TAP_service,table_name,description
VizieR,J/A+A/278/379/table1,"Summary of the characteristics and X-ray results of the deep cluster sample ( Briel U.G., Henry J.P.)"
VizieR,J/A+A/285/785/appena,"Results from filter observations of Cl 1409+524 ( Thimm G.J., Roeser H.-J., Hippelein H., Meisenheimer K.)"
VizieR,J/A+A/296/665/table3,"Medium redshift QSOs ( VERON P., HAWKINS M.R.S.)"
VizieR,J/A+A/303/661/table1,"Galaxies data ( Donas J., Milliard B., Laget M.)"
VizieR,J/A+A/303/661/table2,"The UV sources identified with two closely unresolved galaxies ( Donas J., Milliard B., Laget M.)"
VizieR,J/A+A/319/67/table1,"Optical data ( Huchtmeier W.K., Hopp U., Kuhn B.)"
VizieR,J/A+A/321/123/table1,"List of the QSOs in the SA94 ( Cristiani S., Trentini S., La Franca F., Andreani P.)"
VizieR,J/A+A/325/473/table1,Observational data ( Huchtmeier W.K.)
VizieR,J/A+A/325/473/table2,*Global parameters of Hickson compact groups of galaxies (Cat. <VII/85>) ( Huchtmeier W.K.)
VizieR,J/A+A/327/522/gal,"Target galaxies and CO observations ( Boselli A., Gavazzi G., Lequeux J., Buat V., Casoli F., Dickey J., Donas J.)"
VizieR,J/A+A/327/952/table5a,"New redshifts for Centaurus cluster members ( Stein P., Jerjen H., Federspiel M.)"
VizieR,J/A+A/327/952/table5b,"New redshifts of background galaxies ( Stein P., Jerjen H., Federspiel M.)"
VizieR,J/A+A/327/952/table5c,"Reobserved redshifts for Centaurus cluster members ( Stein P., Jerjen H., Federspiel M.)"
VizieR,J/A+A/335/467/table3,"Summary of the optical identification program for new sources in our sample. ( Thomas H.-C., Beuermann K., Reinsch K., Schwope A.D., Truemper J., Voges W.)"
VizieR,J/A+A/347/47/table3,"Summary of optical identification program of new bright soft high-galactic-latitude RASS sources with HR1<0. ( Beuermann K., Thomas H.-C., Reinsch K., Schwope A.D., Truemper J., Voges W.)"
VizieR,J/A+A/353/77/tablec1,Basic sample (M_min_<-22.0mag) ( Teerikorpi P.)
VizieR,J/A+A/359/865/table4,"Compact ISOPHOT Serendipity Sources with associated galaxies ( Stickel M., Lemke D., Klaas U., Beichman C.A., Rowan-Robinson M., Efstathiou A., Bogun S., Kessler M.F., Richter G.)"
VizieR,J/A+A/362/799/table1,"List of BeppoSAX X-ray sources ( Giommi P., Perri M., Fiore F.)"
VizieR,J/A+A/363/141/table1,"Data for 741 source ( Reich W., Fuerst E., Reich P., Kothes R., Brinkmann W., Siebert J.)"
VizieR,J/A+A/363/141/table2,"Repeated observations ( Reich W., Fuerst E., Reich P., Kothes R., Brinkmann W., Siebert J.)"
VizieR,J/A+A/363/440/table2,"Spectral analysis of Abell 2104 ( Liang H., Lemonon L., Valtchanov I., Pierre M., Soucail G.)"
VizieR,J/A+A/363/517/table1,"The calibrating sample ( Mobasher B., Mazzei P.)"
VizieR,J/A+A/363/887/table1,"Candidates observed with the VLA ( Dallacasa D., Stanghellini C., Centonza M., Fanti R.)"
VizieR,J/A+A/364/391/table1,"Observed source list ( Lobanov, A.P., Krichbaum, T.P., Graham, D.A., Witzel, A., Kraus, A., Zensus, J.A., Britzen, S., Greve, A., Grewing, M.)"
VizieR,J/A+A/364/517/table1,"Photometric data on the sample galaxies ( Rodighiero G., Granato G.L., Franceschini A., Fasano G., Silva L.)"
VizieR,J/A+A/366/771/table3,"Names, coordinates, velocities with their errors, app.magnitudes, abs.magnitudes and classification of emission-line galaxies ( Kniazev A.Y., Engels D., Pustilnik S.A., Ugryumov A.V., Kniazeva T.F., Pramsky A.G., Brosch N., Hagen H.-J., Hopp U., Izotov Y.I., Lipovetsky V.A., Masegosa J., Marquez I., Martin J.-M.)"
VizieR,J/A+A/366/771/table5,"Names, coordinates, redshifts and magnitudes of QSOs ( Kniazev A.Y., Engels D., Pustilnik S.A., Ugryumov A.V., Kniazeva T.F., Pramsky A.G., Brosch N., Hagen H.-J., Hopp U., Izotov Y.I., Lipovetsky V.A., Masegosa J., Marquez I., Martin J.-M.)"
VizieR,J/A+A/366/771/table6,"Galaxies without emission lines ( Kniazev A.Y., Engels D., Pustilnik S.A., Ugryumov A.V., Kniazeva T.F., Pramsky A.G., Brosch N., Hagen H.-J., Hopp U., Izotov Y.I., Lipovetsky V.A., Masegosa J., Marquez I., Martin J.-M.)"
VizieR,J/A+A/370/409/table2,"Radio sample of large angular size radio galaxies from the NVSS survey ( Lara L., Cotton W.D., Feretti L., Giovannini G., Marcaide J.M., Marquez I., Venturi T.)"
VizieR,J/A+A/371/833/table4,"Photometric and spectroscopic properties of optical counterparts ( Lehmann I., Hasinger G., Schmidt M., Giacconi R., Truemper J., Zamorani G., Gunn J.E., Pozzetti L., Schneider D.P., Stanke T., Szokoly G., Thompson D., Wilson G.)"
VizieR,J/A+A/372/391/table4,"The catalogue ( Czoske O., Kneib J.-P., Soucail G., Bridges T.J., Mellier Y., Cuillandre J.-C.)"
VizieR,J/A+A/373/24/table2,"Main parameters of the studied Blue Compact Galaxy (BCG) sample ( Pustilnik S.A., Kniazev A.Y., Lipovetsky V.A., Ugryumov A.V.)"
VizieR,J/A+A/373/24/table3,"Parameters of the strongest disturbers of BCGs - probable star formation burst triggers ( Pustilnik S.A., Kniazev A.Y., Lipovetsky V.A., Ugryumov A.V.)"
VizieR,J/A+A/373/24/tablea1,"Parameters of Observed Galaxies ( Pustilnik S.A., Kniazev A.Y., Lipovetsky V.A., Ugryumov A.V.)"
VizieR,J/A+A/374/907/table3,"Names, coordinates, velocities, apparent and absolute magnitudes and classification of emission-line galaxies ( Ugryumov A.V., Engels D., Kniazev A.Y., Green R.F., Izotov Y.I., Hopp U., Pustilnik S.A., Pramsky A.G., Kniazeva T.F., Brosch N., Hagen H.-J., Lipovetsky V.A., Masegosa J., Marquez I., Martin J.-M)"
VizieR,J/A+A/374/907/table5,"Names, coordinates, redshifts and magnitudes of QSOs ( Ugryumov A.V., Engels D., Kniazev A.Y., Green R.F., Izotov Y.I., Hopp U., Pustilnik S.A., Pramsky A.G., Kniazeva T.F., Brosch N., Hagen H.-J., Lipovetsky V.A., Masegosa J., Marquez I., Martin J.-M)"
VizieR,J/A+A/374/907/table6,"Galaxies without emission lines ( Ugryumov A.V., Engels D., Kniazev A.Y., Green R.F., Izotov Y.I., Hopp U., Pustilnik S.A., Pramsky A.G., Kniazeva T.F., Brosch N., Hagen H.-J., Lipovetsky V.A., Masegosa J., Marquez I., Martin J.-M)"
VizieR,J/A+A/377/428/table1,"Heliocentric radial velocities for galaxies ( Sodre L.Jr., Proust D., Capelato H.V., Lima Neto G.B., Cuevas H., Quintana H., Fouque P.)"
VizieR,J/A+A/379/54/galaxies,"Data for the observed galaxies, and the  final results ( ( Hernandez-Toledo H.M., Puerari I.)"
VizieR,J/A+A/382/513/table1,"Edge-on galaxies in the HDF-N ( Reshetnikov V., Battaner E., Combes F., Jimenez-Vicente J.)"
VizieR,J/A+A/382/60/table1,"Spectroscopically-confirmed cluster members in the multi-object spectrometer (MOS) sample ( Duc P.-A., Poggianti B.M., Fadda D., Elbaz D., Flores H., Chanial P., Franceschini A., Moorwood A., Cesarsky C.)"
VizieR,J/A+A/382/60/table2,"Spectroscopically-confirmed cluster members from Teague et al. (1990ApJS...72..715T) ( Duc P.-A., Poggianti B.M., Fadda D., Elbaz D., Flores H., Chanial P., Franceschini A., Moorwood A., Cesarsky C.)"
VizieR,J/A+A/382/60/table3,"ISOCAM cluster members with photometric redshift ( Duc P.-A., Poggianti B.M., Fadda D., Elbaz D., Flores H., Chanial P., Franceschini A., Moorwood A., Cesarsky C.)"
VizieR,J/A+A/382/60/table4,"Foreground and background galaxies in the MOS sample ( Duc P.-A., Poggianti B.M., Fadda D., Elbaz D., Flores H., Chanial P., Franceschini A., Moorwood A., Cesarsky C.)"
VizieR,J/A+A/384/371/table1,"Catalog elements and kinematical results ( Simien, F., Prugniel, P.)"
VizieR,J/A+A/384/81/qso,"QSO candidates ( Hatziminaoglou E., Groenewegen M.A.T., da Costa L., Arnouts S., Benoist C., Madejsky R., Mignani R., Olsen L.F., Rite C., Schirmer M., Slijkhuis R., Vandame B.)"
VizieR,J/A+A/386/97/tablea1,"The complete catalogue of the Parkes quarter-Jansky sample (Appendix A) ( Jackson C.A., Wall J.V., Shaver P.A., Kellermann K.I., Hook I.M., Hawkins M.R.S.)"
VizieR,J/A+A/387/26/table7,"Photometric and morphological parameters of galaxies in 7 clusters ( Fasano G., Bettoni D., D'Onofrio M., Kjfrgaard P., Moles M.)"
VizieR,J/A+A/388/1/tablea1,"Redshifts obtained in the EIS0946-2029 field ( Hansen L., Olsen L.F., Jorgensen H.E.)"
VizieR,J/A+A/388/1/tablea2,"Redshifts obtained in the EIS0947-2120 field ( Hansen L., Olsen L.F., Jorgensen H.E.)"
VizieR,J/A+A/388/1/tablea3,"Redshifts obtained in the EIS0948-2044 field ( Hansen L., Olsen L.F., Jorgensen H.E.)"
VizieR,J/A+A/388/1/tablea4,"Redshifts obtained in the EIS0949-2101 field ( Hansen L., Olsen L.F., Jorgensen H.E.)"
VizieR,J/A+A/388/1/tablea5,"Redshifts obtained in the EIS0956-2059 field ( Hansen L., Olsen L.F., Jorgensen H.E.)"
VizieR,J/A+A/391/35/table1,"The Compact groups sample ( Focardi P., Kelm B.)"
VizieR,J/A+A/392/795/table3,"A1451 spectroscopic catalogue ( Valtchanov I., Murphy T., Pierre M., Hunstead R., Lemonon L.)"
VizieR,J/A+A/392/795/table4,"1RXS J131423.6-25152 spectroscopic catalogue ( Valtchanov I., Murphy T., Pierre M., Hunstead R., Lemonon L.)"
VizieR,J/A+A/392/851/table3,"QSOs/Sey1s/NELGs from follow-up spectroscopy of VPM sources ( Meusinger H., Scholz R.-D., Irwin M., Lehmann H.)"
VizieR,J/A+A/392/851/table4,"QSOs/Sey1s/NELGs from the NED ( Meusinger H., Scholz R.-D., Irwin M., Lehmann H.)"
VizieR,J/A+A/393/425/table2,"X-ray catalogue ( Mainieri V., Bergeron J., Hasinger G., Lehmann I., Rosati P., Schmidt M., Szokoly G., Della Ceca R.)"
VizieR,J/A+A/394/395/catalog,"Spectroscopic Catalog ( Dietrich, J.P., Clowe, D.I., Soucail, G.)"
VizieR,J/A+A/397/431/table1,"Spectroscopic data ( Mercurio A., Girardi M., Boschin W., Merluzzi P., Busarello G.)"
VizieR,J/A+A/398/479/table2,"Current census of the Local Volume galaxies with 1.0<D<5.5Mpc. ( Karachentsev I.D., Makarov D.I., Sharina M.E., Dolphin A.E., Grebel E.K., Geisler D., Guhathakurta P., Hodge P.W., Karachentseva V.E., Sarajedini A., Seitzer P.)"
VizieR,J/A+A/399/469/tablea1,"Redshifts for the Parkes quarter-Jansky flat-spectrum sample ( Hook I.M., Shaver P.A., Jackson C.A., Wall J.V., Kellermann K.I.)"
VizieR,J/A+A/401/927/table8,"Objects from the RASS-BSC/NVSS correlation. An X-ray count rate limit hcps>=0.09 was applied. ( Beckmann V., Engels D., Bade N., Wucknitz O.)"
VizieR,J/A+A/401/927/table9,"The HRX-BL Lac sample (Hamburg-RASS Bright X-ray AGN sample) ( Beckmann V., Engels D., Bade N., Wucknitz O.)"
VizieR,J/A+A/407/31/table1,"Heliocentric radial velocities in Abell 376 ( Proust D., Capelato H.V., Hickel G., Sodre Jr. L., Lima Neto G.B., Cuevas H.)"
VizieR,J/A+A/407/791/c15,"15um sources detected in the field of Abell 370 ( Metcalfe L., Kneib J.-P., McBreen B., Altieri B., Biviano A., Delaney M., Elbaz D., Kessler M.F., Leech K., Okumura K., Ott S., Perez-Martinez R., Sanchez-Fernandez C., Schulz B.)"
